h3,max_p,mean_p,expected_hi_hours,fc_dow,fc_hour,fc_p,fc_dow_name,risk_tier,tier,lat,lon,location_name,top_violation,total_impact,capacity_loss_pct,near_junction,peak_dow,peak_hour
8a61892e936ffff,0.779845693796302,0.23560287022551657,39.581282197886786,2,8,0.779845693796302,Wednesday,Medium,CRITICAL,12.98166638926088,77.60188545443876,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,43.9,65.3,1.0,Wednesday,8
8a61892e9377fff,0.9303797819703594,0.24540057170005058,41.2272960456085,0,17,0.9303797819703594,Monday,Medium,CRITICAL,12.98272914203724,77.6037090110042,"Central Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,469.7,58.7,1.0,Sunday,10
8a61892e988ffff,0.823445444594373,0.19131822752120928,32.14146222356316,6,12,0.823445444594373,Sunday,Low,HIGH,12.981621276436329,77.6151269554298,"Annaswamy Mudaliar Road, Neelkanta Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",NO PARKING,24.8,49.7,0.0,Sunday,12
8a61892e98c7fff,0.7865864315915931,0.2576540465001358,43.28587981202281,4,11,0.7865864315915931,Friday,High,CRITICAL,12.980558544581676,77.61330313217205,"Dickenson Cross Road, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",WRONG PARKING,602.4,35.1,0.0,Monday,11
8a61892e98cffff,0.7881224125190407,0.25180217539540284,42.30276546642767,0,11,0.7881224125190407,Monday,High,CRITICAL,12.980562672466595,77.61209930692286,"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",WRONG PARKING,287.8,33.2,0.0,Sunday,10
8a61892e98d7fff,0.33106503738820503,0.18726004989346126,31.45968838210149,6,11,0.33106503738820503,Sunday,Low,CRITICAL,12.981625405561944,77.61392310140077,"Gangadhara Chetty Road, Neelkanta Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",WRONG PARKING,154.8,50.8,0.0,Saturday,10
8a61892e98dffff,0.7975787690096147,0.28365941972100994,47.654782513129675,0,9,0.7975787690096147,Monday,High,CRITICAL,12.981629529094956,77.6127192636119,"Gangadhara Chetty Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",NO PARKING,1373.7,52.0,0.0,Sunday,10
8a61892e98e7fff,0.8717102805109236,0.28467086746940334,47.82470573485976,2,10,0.8717102805109236,Wednesday,High,HIGH,12.979487549959469,77.61388700050176,"Dickenson Road, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",NO PARKING,1761.7,35.5,0.0,Sunday,10
8a61892e98effff,0.7813672069857875,0.23719933589552197,39.84948843044769,6,10,0.7813672069857875,Sunday,Medium,CRITICAL,12.97949168778842,77.61268317155164,"Gangadhara Chetty Cross Road, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",WRONG PARKING,87.2,34.1,0.0,Sunday,6
8a61892e98f7fff,0.9264071106861083,0.2853318634335713,47.93575305683998,0,8,0.9264071106861083,Monday,High,HIGH,12.980554411104622,77.61450697366162,"Gangadhara Chetty Road, Neelkanta Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",NO PARKING,855.5,34.9,0.0,Sunday,10
8a61892e9a07fff,0.8573039884093826,0.21810472947498885,36.64159455179813,6,10,0.8573039884093826,Sunday,Low,CRITICAL,12.97844134799895,77.60724811631391,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",NO PARKING,103.0,67.3,1.0,Monday,10
8a61892e9a0ffff,0.19513073853512392,0.1184620044882135,19.901616754019866,6,11,0.19513073853512392,Sunday,Low,CRITICAL,12.978445462226585,77.60604438111532,"Cubbon Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",NO PARKING,6.9,32.5,1.0,Wednesday,10
8a61892e9a17fff,0.8558677784924643,0.21040317560928382,35.34773350235968,0,9,0.8558677784924643,Monday,Low,CRITICAL,12.97950818318991,77.60786801816519,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,150.6,48.2,1.0,Monday,9
8a61892e9a1ffff,0.9246145219059613,0.27459248320460816,46.131537178374174,4,14,0.9246145219059613,Friday,High,CRITICAL,12.979512293062792,77.60666427042571,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",NO PARKING,3344.05,53.9,1.0,Sunday,9
8a61892e9a87fff,0.8398531459694357,0.24524918205528165,41.201862585287316,5,15,0.8398531459694357,Saturday,Medium,CRITICAL,12.981645967305289,77.60790407487231,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,4102.24,53.9,1.0,Sunday,10
8a61892e9a8ffff,0.9112169272133572,0.28654412454355194,48.139412923316726,2,10,0.9112169272133572,Wednesday,High,CRITICAL,12.981650062878533,77.60670031829507,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,2396.6,47.6,1.0,Saturday,10
8a61892e9a97fff,0.8238620063985804,0.14330893787087773,24.075901562307457,6,9,0.8238620063985804,Sunday,Low,CRITICAL,12.982712810709367,77.60852399000854,"Commercial Street, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,292.7,45.1,1.0,Sunday,9
8a61892e9a9ffff,0.8711652250619774,0.2012917590606884,33.81701552219565,3,11,0.8711652250619774,Thursday,Low,CRITICAL,12.982716901928764,77.60732022089032,"Aruna Chouhan Muduar Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,977.4,46.5,1.0,Monday,11
8a61892e9aa7fff,0.20618656902933566,0.12019703380789046,20.193101679725597,6,10,0.20618656902933566,Sunday,Low,CRITICAL,12.980575022570788,77.608487928625,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",NO PARKING,6.6,45.0,1.0,Wednesday,7
8a61892e9aaffff,0.8610346562860646,0.2584860715801298,43.42566002546181,2,5,0.8610346562860646,Wednesday,High,CRITICAL,12.980579128089396,77.60728416834472,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",NO PARKING,2790.39,51.8,1.0,Sunday,11
8a61892e9ab7fff,0.9352365198766988,0.24040279559134703,40.3876696593463,3,15,0.9352365198766988,Thursday,Medium,CRITICAL,12.981641866140505,77.60910784769334,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,4449.7,54.5,1.0,Monday,8
8a61892e9ac7fff,0.8741579116165897,0.21896729962965464,36.78650633778198,6,11,0.8741579116165897,Sunday,Low,CRITICAL,12.980587322353712,77.60487669651708,"Infantry Road, Prestige Saleh Ahmed, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",NO PARKING,174.4,67.1,1.0,Sunday,11
8a61892e9ad7fff,0.7368621980649549,0.22767522989961564,38.249438623135426,6,10,0.7368621980649549,Sunday,Medium,CRITICAL,12.98165415286049,77.60549657796236,"Jumma Masjid Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,183.6,47.2,1.0,Sunday,10
8a61892e9adffff,0.7885200375431426,0.23039742754046394,38.70676782679794,1,10,0.7885200375431426,Tuesday,Medium,CRITICAL,12.981658237251413,77.60429285387491,"Hospital Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",NO PARKING,217.6,57.5,1.0,Sunday,10
8a61892e9ae7fff,0.8748073196966223,0.2306155038411085,38.74340464530623,6,13,0.8748073196966223,Sunday,Medium,CRITICAL,12.979516397345131,77.60546053893059,"Infantry Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",NO PARKING,283.40000000000003,64.5,1.0,Sunday,8
8a61892e9aeffff,0.6900514420885799,0.24673387483671017,41.45129097256731,3,0,0.6900514420885799,Thursday,Medium,HIGH,12.979520496037129,77.60425682368052,"Lady Curzon Road, Shivaji Nagar Intersection Junction, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",WRONG PARKING,39.2,60.0,1.0,Friday,12
8a61892e9af7fff,0.80406581558392,0.18503845188208873,31.086459916190908,0,8,0.80406581558392,Monday,Low,CRITICAL,12.980583228016968,77.6060804243085,"Infantry Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",NO PARKING,72.3,65.6,1.0,Monday,8
8a61892e9b87fff,0.8549463062141494,0.2525926691839049,42.43556842289602,4,14,0.8549463062141494,Friday,High,CRITICAL,12.979499946671597,77.61027556237418,"Kamaraj Road, Tyagi Henagalavarayan Junction, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",WRONG PARKING,275.8,66.6,1.0,Sunday,9
8a61892e9b8ffff,0.9324231374991879,0.24521938851315347,41.19685727020978,4,14,0.9324231374991879,Friday,Medium,CRITICAL,12.979504067726255,77.60907178214825,"Kamaraj Road, Tyagi Henagalavarayan Junction, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",NO PARKING,723.7,65.8,1.0,Sunday,11
8a61892e9b97fff,0.7020707085255029,0.21990251941064343,36.9436232609881,6,8,0.7020707085255029,Sunday,Low,CRITICAL,12.980566794759614,77.6108954979148,"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",WRONG PARKING,1777.75,36.0,1.0,Sunday,11
8a61892e9b9ffff,0.9151132572815401,0.2468340637214195,41.468122705198475,1,5,0.9151132572815401,Tuesday,Medium,CRITICAL,12.98057091146094,77.60969170514859,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",NO PARKING,3512.15,55.8,1.0,Sunday,9
8a61892e9baffff,0.8488639968097923,0.2415592962384246,40.58196176805533,6,12,0.8488639968097923,Sunday,Medium,CRITICAL,12.978433102772575,77.60965563544197,"Kamaraj Road, Tyagi Henagalavarayan Junction, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",NO PARKING,133.3,66.7,1.0,Sunday,11
