junction,impact,tickets,lat,lon
Bangalore Builders Junction,587.9,94,12.95924895,77.5556128
"Blood Bank Circle, KH Road",585.2,406,12.96209945,77.5959907
"Sri Hatti Maramma Circle, Domluru",585.1,175,12.9613326,77.6363698
Anepalya Junction,571.95,158,12.95152225,77.6073681
Shanti Nagar TTMC,568.3,144,12.9540652,77.5914118
"Sagar Hospital, Jayanagar",565.9,79,12.9273887,77.597203
TMC,565.1,152,12.9822245,77.5987838
Minerva Circle,561.65,196,12.9552133,77.5800138
Vidhan Soudha Metro Station,551.4,200,12.979796799999999,77.5925982
"Police Quarters, Sultan Road",547.8,87,12.9603628,77.5629515
Domlur Water Tank,540.95,146,12.9606894,77.6385052
"15th Cross, 24th Main, JP Nagar",526.0,116,12.9050103,77.5857311
"MSR Building, JC Road",523.55,132,12.96130615,77.58391345000001
"27th Cross, 4th Main, Jayanagar",523.32,294,12.9295259,77.5806717
Town Hall Junction,516.55,161,12.9653953,77.5847779
RRMR Junction,514.2,130,12.9675469,77.5939159
Lalbagh West Gate,506.7,212,12.94813315,77.58002385
Prakash Nagar Junction,493.6,262,12.992627800000001,77.55798925
VV Puram College,456.4,151,12.9522006,77.573932
Siddapura Junction,441.6,145,12.9474274,77.5912813
Richmond Circle,430.6,293,12.9625577,77.5984094
Mekhri Circle,429.15,87,13.0112557,77.5836966
Devanga Hostel Junction,412.2,102,12.9628031,77.5898376
Shivasankara Circle,403.4,186,12.9568308,77.57501435
"Suguna Hospital, Dr. Rajkumar Road",401.40000000000003,101,12.987607,77.5597809
"9th Block, 28th Main, Jayanagar",400.09,110,12.9169059,77.5951154
Delmia Circle,391.9,98,12.90623145,77.59226545
"Toll Gate, Mysore Road",386.1,88,12.9580256,77.5521991
Coffee Board Junction,382.4,118,12.9853174,77.59417859999999
Minto Junction,381.35,76,12.960532950000001,77.57155655
Indian Express (Balekundri),369.6,112,12.986493849999999,77.5986718
Sarakki Main Road,363.7,137,12.9109452,77.5783083
Vasavi Circle,347.9,112,12.949321099999999,77.5768047
Police Thimmaiah Circle (GPO),340.6,82,12.9808103,77.5940933
"JP Nagar Metro, ORR",340.0,100,12.90650335,77.5733257
KH Circle,334.5,107,12.9517033,77.5906604
"Sophia High School, Sankey Road",317.7,208,12.9911077,77.58857714999999
Sarjapur Road Check Post,297.7,75,12.9267245,77.6170727
"40th Cross, 4th Main, Jayanagar",289.0,102,12.9199322,77.583456
Adugodi Junction,285.3,73,12.941398,77.6087651
RV Teachers College,259.3,57,12.9450764,77.5799915
"36th Cross, 4th Main, Jayanagar",233.1,143,12.9224602,77.5807351
Baleyele Junction,227.4,84,12.9572468,77.56945475
Three Let Junction,213.5,51,12.9842476,77.5819722
"27th Cross, Pai Vista, KR Road",210.3,128,12.9173507,77.5732767
"KR Road Junction, Near JSS",201.70000000000002,64,12.924511156987869,77.57520153697017
Palmgroove Junction,199.5,46,12.968874,77.61480965
Navarang Bar Junction,185.9,47,12.9906036,77.5573073
Mico Bande,184.8,49,12.9449631,77.6026989
South End Circle,167.3,56,12.9377279,77.5811368
Devegowda Petrol Bunk,167.1,45,12.922225,77.5598446
Royan Circle,163.0,21,12.96050405588086,77.56847553
Gorappanapalya Junction,152.9,53,12.9209184,77.6003344
Lower Agram Road Junction,143.0,33,12.9615408,77.6156289
National College Junction,131.9,73,12.948475,77.5722644
ASC Junction,127.8,18,12.96958445,77.6197581
Basaweshwara Circle (LH) Junction,127.0,35,12.9849848,77.5882548
Halasuru Gate Junction,101.8,30,12.9668274,77.5870308
"Puttamma Choultry, Nagarbhavi",96.1,27,12.9800252,77.538279
"15th Cross, 35th Main, JP Nagar",80.2,23,12.906563216832378,77.57757626481128
"15th Cross, 33rd Main, JP Nagar",79.1,24,12.906290649999999,77.58088344999999
"29th Main Road, BTM Layout",78.8,42,12.9151337,77.61587795
Kamakya Junction,67.8,13,12.9239288,77.5533635
Itmadu Junction,62.7,12,12.929435250000001,77.54635429999999
Kadirenahalli Cross,58.3,16,12.9136521,77.5672618
"9th Cross, 8th Main, JP Nagar",38.75,14,12.910303500000001,77.59521525
"18th Main, Marenahalli",32.199999999999996,7,12.9168445,77.5895304
Commando Hospital Junction,28.5,6,12.969713,77.62645069999999
"14th Cross, KR Road",28.5,10,12.929534199999999,77.57291335
"Bharathi Nursing Home, Basavanagudi",23.5,7,12.93737733725582,77.57295683026314
Bileka Halli Junction,23.3,8,12.9020895,77.6010244
